company,job,description,link,link_status
Wikimedia Foundation,"Impact Strategist & Diversity, Equity, and","Impact Strategist & Diversity, Equity, and Inclusion SpecialistSummaryThe Wikimedia Foundation seeks a highly collaborative and analytical audience & market impact professional to track the progress, trends and success of our strategies and campaigns. This work is critical to growing Wikipedia usage worldwide. In this role, you will work with the Foundation communications, product, advancement, community, partnership, and research teams to monitor and report on overall global growth and engagement initiatives. Lead implementation of the diversity, equity, and inclusion strategy by providing insights, thought leadership and guidance to leadership teams as well as operational teams. You will create high-level and detailed impact reporting and views for up-to-date sharing with partners, compiled from a variety of source reporting systems.You are responsible for:*Provide insights to the contributing factors in Wikipedia product usage. *Across audiences, regions, languages, and culturesKnow our audience inside and out across regions. Keep a close eye on current and upcoming current events, initiatives, strategies and campaigns are currently in play, and accurately organize reporting for further impact analysisCompile and distribute up-to-date campaign and strategy impact performance reports. by working with key partners to understand reporting needs, impact metrics and initiatives to track; how to organize the dashboard and supporting reports; and how often to update the reports*Partner with internal and external partners. *By offering a qualitative and quantitative perspective, in conjunction with all involved parties within the external communications teams as well as other sources within the insights teamA diversity, equity, and inclusion first approach. Ensure a diversity, equity, and inclusion lens is being considered to the best case possible by offering a qualitative and quantitative perspective on the matter. Gather diversity, equity, and inclusion related data sets as needed through internal and external means.Skills and Experience:Campaign reporting experienceSolid understanding of web analytics & tagging processExperience working with secure technical data feeds and transmissionsDemonstrated experience organizing and building reporting scorecards, dashboards and detailed report deep-linking.Experience creating and implementing successful insights strategies with collaborative outcomesExcellent organizational and time management skillsSound judgment with proven ability to make objective data-based decisionsAnalytical and innovative approach to aggregating and sharing data reportsA deep love for Wikipedia/Wikimedia, the joy of discovery, and empowering the expansion of free knowledgeExperience working with people from diverse cultures and backgroundsPassion for marketing work and engaging diverse international audiencesEmbrace the idea that we don't live in a perfect world and be willing to try new creative solutions to both old and new challengesProficiency in SQL and Python is welcomedQualities that are important to us:Resilience—we work on new and interesting problems in a public and collaborative waysBeing open, curious, and inquiring in our workInternal motivation and high standardsWorking together for outcomes, and being willing to change courseSharing a culture of constructive honest criticism and respectNatural inclination for team collaboration and for helping colleagues succeedAbout the Wikimedia Foundation:The Wikimedia Foundation is the nonprofit organization that operates Wikipedia and the other Wikimedia free knowledge projects. Our vision is a world in which every single human can freely share in the sum of all knowledge. We believe that everyone has the potential to contribute something to our shared knowledge, and that everyone should be able to access that knowledge freely. We host Wikipedia and the Wikimedia projects, build software experiences for reading, contributing, and sharing Wikimedia content, support the volunteer communities and partners who make Wikimedia possible, and advocate for policies that enable Wikimedia and free knowledge to thrive.The Wikimedia Foundation is a charitable, not-for-profit organization that relies on donations. We receive donations from millions of individuals around the world, with an average donation of about $15. We also receive donations through institutional grants and gifts. The Wikimedia Foundation is a United States 501(c)(3) tax-exempt organization with offices in San Francisco, California, USA.As an equal opportunity employer, the Wikimedia Foundation values having a diverse workforce and continuously strives to maintain an inclusive and equitable workplace. We encourage people with a diverse range of backgrounds to apply. We do not discriminate against any person based upon their race, traits historicall",https://www.emprego.pt/en/jobs/show/30437737640824085598480164391,existe
Palo Alto Networks,"Project Manager, Global People Operations","Company Description*Our Mission*At Palo Alto Networks® everything starts and ends with our mission:Being the cybersecurity partner of choice, protecting our digital way of life.We have the vision of a world where each day is safer and more secure than the one before. These aren’t easy goals to accomplish - but we’re not here for easy. We’re here for better. We are a company built on the foundation of challenging and disrupting the way things are done, and we’re looking for innovators who are as committed to shaping the future of cybersecurity as we are.Disruption is at the core of our technology and on our way of work to meet the needs of our employees now and in the future through FLEXWORK, our approach to how we work. We’re changing the nature of work from benefits to learning, location to leadership, we’ve rethought and recreated every aspect of the employee experience at Palo Alto Networks. And because it FLEXes around each individual employee based on their individual choices, employees are empowered to push boundaries and help us all evolve, together.Job Description*Your Career*The team supports some 60+ countries across four functions: HR Ops providing employee’s support and managing lifecycle programs; Staffing Ops responsible for scheduling interviews, creating offers, and supporting Talent Acquisition’s roles; Contingent Workforce responsible for managing the contingent workforce, our talent providers, and required infrastructure; and Systems & Enablement which supports HRIS, ATS, Enablement, Training and TA programs (e.g., referrals, reference checks, background checks).This role will manage strategic, global projects across the four functions, provide project management support to program managers (e.g., consistent templates, reporting, coaching), and be a strategic lever in globally driving more effective project execution, team-wide. Consequently, this role will manage all aspects of program and project planning, provide status updates, coordinate efforts, track success metrics, ensure effective communications and change management, and drive execution.The ideal person for this role will have excellent communication and stakeholder management skills, strong project management and prioritization abilities, and extensive experience with documenting stakeholder requirements and partnering to translate those requirements into actionable project plans.Your ImpactWork closely with stakeholders within Global People Operations as well as our users to understand requirements and translate them into prioritized projectsPlan, communicate and document all aspects of projects associated with new programs, processes, system changes, tools and initiativesStrong communication skills to clearly describe project’s timeline, challenges, and potential barriersProactive flagging and issue resolution - taking initiative, not just taking direction, but identifying problems and needs independently, and driving execution to a solutionIntegrated Solution - ability to develop sustainable and impactful solutions by balancing the needs of regions with global linked to People team’s strategyPartnership and collaboration - ensure a “One HR” approach through effective partnership with Global People Ops, Talent Acquisition, PBPs, Centers of Excellence, other People Team functions and stakeholders to ensure our projects exceed our user and stakeholder needs while always improving user experience and never sacrificing quality.Change management and adoption - need to understand and demonstrate the ability to manage through change effectively and measure adoptionEnsure high level of deliverable quality in communications, reporting, presentations for TA, management, and employees including monthly reviews on project achievements and future roadmaps.Ability to effectively work within different time-zones and work with different cultures, adapting style to partner for resultsTrack and manage deliverables needed by various stakeholders, while balancing priorities and meeting deadlinesQualifications*Your Experience*8+ years’ experience project management using project management tools (Jira, MS project, Smartsheet, etc.) is requiredStrong communication (written, verbal) and presentation skills and ability to gather, sort and organize information into PowerPoint and other presentation formats that are easy to comprehendStrong stakeholder management and influencing ability to build strong relationships, and, in turn, use those relationships to solicit buy-in and deliver effective change managementStrong organizational skills with the ability to manage multiple competing priorities synchronouslyStrategic thinking skills; identifies root causes and addresses problems in ways that lead to innovative solutions; possesses advanced knowledge and ability to interpret data and make recommendations- Ability to work independently, while managin",https://www.emprego.pt/en/jobs/show/30437738932096170758148777512,existe
Lingoda,Daf Online Lehrer/innen - (Honorarbasis) M/w/d,"Kannst du dir vorstellen, Schüler von überall auf der Welt komfortabel von zu Hause aus zu unterrichten?Bist du motiviert, gut organisiert, technisch versiert und daran interessiert, als unabhängiger Lehrer im „Klassenzimmer der Zukunft” zu unterrichten?Dann bist du bei Lingoda genau richtig!Lingoda steht seit 2013 an der Spitze des E-Learnings und verändert aktiv die Art und Weise, wie eine Sprache erlernt wird.Wenn du Mitglied des Lehrerteams hier bei Lingoda wirst, bist du Teil eines stetig wachsenden Unternehmens, das sich auf die Zukunft des Online-Lernens fokussiert.TasksHigh Speed InternetanschlussHeadset mit MikrofonLaptop/Desktop mit KameraDu kannst als Freiberufler arbeitenRequirements:Du bist positiv, eigenständig, pünktlich und organisiert.Deutsch ist deine Muttersprache (mindestens C2+ Niveau).Du hast bereits Erfahrung (mind. 1 Jahr) als DaF Lehrer/in.Du hast dein Studium in DaF oder verwandten Studiengängen (Didaktik, Pädagogik, Linguistik, Übersetzung, Germanistik) abgeschlossen.Du bist flexibel einsetzbar und kannst mindestens 5 Stunden pro Woche am Wochenende und Abend arbeiten (flexibel und frei wählbar).Benefits:Gestellte Lernmaterialien, sodass keine Unterrichtsvorbereitungszeit anfälltFlexible Arbeitszeiten und Stundenplangestaltung: du entscheidest an welchen Tagen, zu welcher Uhrzeit und wie viel du unterrichtestArbeit von zu Hause aus, egal wo du wohnst oder dich gerade aufhältstFirmenrabatte (25% Rabatt auf all unsere Sprachkurse)Deine Chance, ein Teil der Zukunft des Sprachenlernens zu seinFalls du Interesse daran hast, Deutschlehrer bei Lingoda zu werden, bewirb dich bitte online.Wir freuen uns darauf, dich virtuell kennenzulernen: )",https://www.emprego.pt/en/jobs/show/30437738968989658905567880745,existe
Global Healthcare Resources,Content Writer (Remote) at Usa-based Healthcare,"Want to be a part of a small team that's making a big difference across the globe by transforming the business of health? Have experience in a B2B content writing role with proven success? Are you able to independently manage yourself while being an asset to a wider team? There may be a place for you to join our team and create a very unique career for yourself.Role Responsibilities:Researching industry-related topics (combining online sources, interviews and studies)Writing clear marketing copy to promote our products/servicesOrganize writing schedules to complete drafts of content or finished projects within deadlinesPreparing well-structured drafts using our Content Management SystemProofread and edit blog posts before publicationPromote content on social mediaEnsure all-around brand consistency (style, fonts, images and tone)Monitor and analyze the performance of key performance indicators (KPIs) to offer suggestions for improvementUse search engine optimization (SEO) strategies in writing to maximize the online visibility of a website in search resultsDevelop/follow an editorial calendar, collaborating with other members of the content production team to ensure timely delivery of materialsQualifications:Proven record of excellent writing demonstrated in a professional portfolioImpeccable grasp of the English language, including idioms and current trends in slang and expressionsAbility to work independently with little or no daily supervisionStrong interpersonal skills and willingness to communicate with clients, colleagues, and managementAbility to work on multiple projects with different objectives simultaneouslyStrict adherence to the style guides of each company and their policies for publicationGood time management skills, including prioritizing, scheduling, and adapting as necessaryProficiency with computers, especially writing programs, such as Google Docs and Microsoft Word, Excel, Outlook, and PowerPointFamiliarity with the company's brand image, products, and servicesJob Types: Full-time, Part-timePay: ₡195,546.24 - ₡912,549.11 per monthApplication Question(s):If we called your previous employers, what are 3 words that would be used to describe you?Education:Bachelor's (required)Experience:content writing: 5 years (required)Application Deadline: 07/03/2022",https://www.emprego.pt/en/jobs/show/30437739024329891126696535594,existe
Hacienda AltaGracia,Front Office Assistant Manager,"ÚNETE A NUESTRA FAMILIAQueremos invitarte a explorar la oportunidad de ser parte del mejor destino de bienestar.La principales funciones serán:Garantizar que la experiência de los huéspedes cumpla o supere todos los estándares de calidad y servicio del Hacienda Altagracia desde la entrada hasta la salida. Esto incluye pero no se limita a;:Gestionar, revisar y asegurarse de que los servicios reservados durante la pre-llegada estén listo, organizados e implementados para la llegada de los huéspedes:Welcome lounge:Transportación:Car transfer:Flight transfer:Requerimientos de dieta y alergias comunicados a F&B y al equipo en general:Amenidades de bienvenida:etc:Gestionar e implementar los estándares de in room check in y check out a través de los Compas y siempre tenerlo actualizado as través de la tecnología (Opera mobile tablet, e-registration card):Gestionar y revisar que se preparen todos los documentos necesarios, como las tarjetas de registro, cuentas por cobrar, límite de depósitos de los huéspedes para que siempre tengan crédito, reembolsos, revisa que las cuentas de agencias de viajes tengan las cuentas enrutadas acorde a la cuenta, los cargos y descuentos de distintas áreas como tratamientos de spa y la confirmación de los restaurantes, así como cualquier otro elemento que pueda contribuir a un proceso de entrada y salida eficiente y oportuno.:Gestionar, revisar y asegurarse de que las preferencias de los huéspedes (es decir, opciones y/o experiências a medida, detalles de la habitación) se registran en la página del historial de huéspedes de Opera y se presentan a los departamentos adecuados para su seguimiento.:Gestionar, revisar y asegurarse de que todos los huéspedes sean acompañados a sus casitas, restaurantes, baños, etc. a través de los compas o valet:Gestionar, revisar y asegurarse de que se respondan con prontitud y tacto a cualquier queja de los huéspedes que pueda surgir ya sea por el/ella mismo(a), Asistente de Front Office, etc.:Gestionar, revisar y asegurarse de que la facturación es correcta de acuerdo con las políticas y procedimientos de la recepción.:Gestionar, revisar y asegurarse de que las irregularidades y discrepancias se registren en el libro de registro del departamento y se pongan en conocimiento de la MOD y/o del Director General.:Gestionar, revisar y asegurarse de que se preparen los perfiles de huéspedes e identificar las preferencias y tenerlas actualizadas en el formato de perfiles de llegadas y compartir con la administración y el equipo uno o dos días antes de la llegada de los huéspedes.:Gestionar, organizar y revisar que las maletas sean entregadas a la habitación correcta y en base a los estándares de entrega en habitaciones.:Actuar como embajador del hotel proporcionando a los huéspedes cualquier reserva, información, servicios, atracciones de la zona, spa y reservas gastronómicas, según sea necesario.:Organizar y mantener el área de bienvenida/despedida, automóviles del hotel, tabletas en buen estado y limpias, asegurándose de que todos los materiales y suministros estén fácilmente disponibles y accesibles para agilizar los procedimientos de llegada y salida.:",https://www.emprego.pt/en/jobs/show/30437740075794303328140977707,existe
Six Star Solar,Sales Representative,"We are a solar energy company with a mission to help homeowners achieve energy independence and create sustainable communities.Our goal is to provide customers with excellent service and support through the process.We have an opening for a highly motivated and enthusiastic sales representative.This is an exciting opportunity to work with a growing company that is team-oriented and dedicated to the development of each employee.PositionThe role of the Sales Representative is to perform virtual consultations with interested homeowners in the United States about solar energy. The Representative should be able to direct the homeowner to switch their home to solar energy, close contracts, and follow up with potential and existing customers.You will be selling solar energy to residential homeowners in the U.S.- Great English and an understanding of the culture is requiredYou will be working remotely- A quiet and professional workspace is requiredQualificationsProven sales experienceStrong negotiation skills with a closer's mindsetSelf-motivatedGood people skillsPositive attitudeExcellent verbal and written communication skillsComputer literatePersonal laptop/computer able of running multiple browser tabs simultaneouslyThis is a remote position requiring a strong internet connectionFluent in EnglishWe love working with people that are growth-oriented and open to new ideas!CompensationThis is an Independent Contractor position with a commission package based on performance.What We ProvideWe support all of our Sales Representatives with:Confirmed virtual consultations with qualified leads:Real-time training, support, and collaborationHigh-quality productsApplication Question(s):Do you have a quiet workspace?Do you have a strong internet connection in your workspace?Do you have a personal computer that you can use for work with at least 4 GB ram?How many years of sales experience do you currently have?Language:English (required)",https://www.emprego.pt/en/jobs/show/30437740112687791475560080940,existe
Mondelēz International,Time File Transmision Analyst,"Job Description:Are You Ready to Make It Happen at Mondelēz International?Join our Mission to Lead the Future of Snacking. Make It Matter.You are a specialist in a process, workstream or area in Mondelēz International Business Services, working to support impeccable service operations.How you will contributeYou will use your in-depth process and service knowledge in your area of expertise to ensure that service level agreements and obligations are met. As a co-owner of the development of standard operating procedures, you will drive standardization and simplification of processes. In addition, you will provide input for training materials, ensure that standard operating procedures and data protection activities comply with Mondelēz International policies and the law, analyze and report on exceptions and offer recommendations for process improvements, and lead the sustainable continuous improvement process for the team.What you will bringA desire to drive your future and accelerate your career. You will bring experience and knowledge in:Your specific process areaWorking in a shared service organizationBeing a good team player and influencing othersProcess design and mapping, and business requirement gathering experienceMore about this roleWhat you need to know about this position:The analyst is accountable for the effective and efficient delivery of payroll ensuring timely processing, compliance, standard payroll processes for the complex North America (US & Canada) payroll for approximately 22,000 employees with various, and separate union agreements.*1) Payroll Expertise & Knowledge*Maintain an up to date knowledge of North America payroll processes and regulations to ensure accuracy & compliance, and stay abreast of changes required2) Payroll ProcessesResponsible for running Transmission, Sending Hard error reports, processing affidavits, Balancing and all other plant payroll related activities.3) Continuous ImprovementContributes to an environment that is passionate about simplification, and seeks ways to make the process and service simpler and more cost effective for the business4) Controls & ComplianceEnsures payroll is run in line with internal and external controls requirements5) Internal Relationship within Mondelez Business ServicesFoster strong relationship with payroll colleagues to ensure agreed processes and services are delivered in line with agreed service levels, customer service and key performance indicatorsEducation / Certifications:Bachelor's Degree in Business Administration, Engineering or related fieldsJob specific requirements:1. Minimum 4 years of experience in share services/ customer service/ employee life cycle processes or related. From those minimum of 2 year payroll experience.Experience with outsourced payroll delivery including vendor management. (desired)Experience with US & Canada payroll. (must have)Union payroll experience. (must have)Experience in managing corporate audits. (desired)English Advance requiredTravel requirements:Once a yearUSA Visa is requiredNo Relocation support available:Business Unit Summary:WACAM is Mondelez International’s Latin America presence with 1,700 wonderful people proudly representing a diversity of cultures and nationalities. WACAM includes 12 countries—Colombia, Ecuador, Peru, Chile, Bolivia, Panama, Costa Rica, Nicaragua, Honduras, Guatemala, El Salvador, and the Dominican Republic—and the U.S. territory of Puerto Rico. We make and distribute our global brands and local jewels such as *_Choco-Soda _, _Doña Pepa _, _Coronitas _and _Cua-Cua _to over 190 million discerning consumers.*:Mondelēz International is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation or preference, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.Job Type:RegularService Operations (Delivery)Global Business Services",https://www.emprego.pt/en/jobs/show/30437750571991681268875847213,existe
Mondelēz International,People Team Intern,"Job Description:Are You Ready to Make It Happen at Mondelēz International?Join our Mission to Lead the Future of Snacking. Make It Matter.As an organization we are committed to developing the next generation of Makers and Bakers. Joining us at an early career stage in our fast paced and ever changing environment will enable you to do more, learn more and grow more. You will be encouraged to step outside your comfort zone- you may even surprise yourself! We will ensure you are given the support you need to be at your best and enable you to be yourself and bring passion and personality. Here you can lean in and speak up and bring your own flavor.Main responsabilities:Support the Talent Management and Capabilities Manager in the execution plan of Culture for WACAM. This includes the following administrative tasks:Preparation of support materials for presentationsSupport in coordination of activities HR activitiesHelp to execute communication for WACAM related to Talent Management activitiesHelp with the coordination trainings/programsSupport with required data & reportingCollecting data as neededSupport Talent Attraction pillar as needed in talent selection processesCompetencies:Business Administration or HR career in progressAbility to work with Excel and power point effectivelyInterpersonal Savvy - Relates well to all kinds of people in organizationPerseverance - does not give up until task is complete. Can keep o focus and deal with Ambiguity - comfortable handling uncertaintyExcellent Communication Skills (Written & Oral), English and SpanishHigh communications skills verbally and writtenMicrosoft Office package ( specially Excel and Power Point Intermadiate required)Very creative person and outgoingAdaptability to Change in prioritiesNo Relocation support available:Business Unit Summary:WACAM is Mondelez International’s Latin America presence with 1,700 wonderful people proudly representing a diversity of cultures and nationalities. WACAM includes 12 countries—Colombia, Ecuador, Peru, Chile, Bolivia, Panama, Costa Rica, Nicaragua, Honduras, Guatemala, El Salvador, and the Dominican Republic—and the U.S. territory of Puerto Rico. We make and distribute our global brands and local jewels such as *_Choco-Soda _, _Doña Pepa _, _Coronitas _and _Cua-Cua _to over 190 million discerning consumers.*:Mondelēz International is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation or preference, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.Job Type:Intern (Fixed Term)InternsEarly Careers",https://www.emprego.pt/en/jobs/show/30437750608885169416294950446,existe
SchoolMint,Accountant,"Company DescriptionSchoolMint is the leading SAAS platform trusted to deliver student-centric experiences in K12. We are driven by our mission to help educators create bright, more sustainable futures. We offer powerful products that help schools run smarter enrollment management and student behavior management.We are a fast-growing and established EdTech company mission-driven by our core values: No Jerks, Period; We, Not Me; Be Heroic; Bring Your Whole Self to Work; Embrace and Drive Change. We take these seriously. At SchoolMint we live what we preach and embody values that empower us to delight our customers with award-winning products and top-notch customer service.SchoolMint is seeking an Accountant with experience in Accounts Receivable and Accounts Payable. You will provide overall support to our Controller, Accounting team, and various departments. This is an exciting opportunity to develop skills and experience that will serve as the basis for a career in Finance in the tech industry.What You'll DoCalculate payroll, severance payments and any other extraordinary payment.File and remit payroll taxes and process payment to third partiesReceive, code, enter, and process bills company-wideReview and process expense reports submitted by employeesReconcile credit card statements and ensure receipt of supporting documentationMonitor customer accounts to ensure timely paymentsRespond to all customers inquiries in a timely manner and escalate as neededPrepare and reconcile balance sheet accountsAssist in year-end audit requestsOther duties as assignedAbout You:Fluent in English and Spanish requiredBachelor's Degree in AccountingPublic Accountant license a plus4+ years of experience in prior experience in an accounting or bookkeeping role preferredPayroll experience requiredStrong attention to detail and highly organizedAbility to work well in a fast-paced environment with project deadlinesProficient in Microsoft Excel and Google SheetsExcellent communication and written skillsAbility to work both independently and collaboratively with different levels of employeesSome Awesome PerksPrivate medical and life insuranceGenerous PTO and Holiday packageReferral bonus programCompany activitiesEducational Assistance Program",https://www.emprego.pt/en/jobs/show/30437750664225401637423605295,existe
Mondelēz International,Solution Delivery Expert (OTC),"Job Description:Are You Ready to Make It Happen at Mondelēz International?Join our Mission to Lead the Future of Snacking. Make It Uniquely Yours.How you will contributeYou will ensure that delivered services are optimized to meet business demands and the service operations strategy, plan, measure, report and communicate service improvement initiatives, and serve as a consultant on issues and resolutions. You will also recommend actions that can be taken to optimize investments and benefits and to mitigate risks. This role will require you to identify suppliers, evaluate them, on-board new vendors, establish and run vendor governance; collaborate with management and follow-up on requisitions, purchase orders, invoices, and payments; work with project resources to provide design collateral and to configure software components so they are aligned with security policy and governance; and ensure adherence to development and configuration standards and processes.What you will bringA desire to drive your future and accelerate your career. You will bring experience and knowledge in:Working collaboratively with multiple vendorsLeading complex projects - project managementStakeholder management and influencing skillsManaging infrastructure services delivery, support and excellenceWorking in global IT function with regional or global responsibilities in an environment like Mondelēz InternationalWorking with IT outsourcing providers using frameworks such as the IT Infrastructure LibraryWorking with internal and external teams and leading when necessaryMore about this roleWhat you need to know about this position:This role is the Solution Delivery Expert (SDE) for Order To Cash (OTC).The individual in this role will be the process and system expert in this area and will be responsible for the delivery of Projects/enhancements and deployment of the same.The SDE will be responsible for the implementation of all projects in the OTC area and for ensuring all projects are on track and delivering the benefits.The role will also own the understanding and administration of the Finances for their projects/initiatives.What extra ingredients you will bring:OTB: Knowledge of Order to Cash best practices; including Order Management, Order Fulfillment, Invoicing and Master Data ManagementStakeholder Management, Business Partnering, Vendor ManagementEducation / Certifications:GraduateSAP OTC Certification preferredTravel requirements:Project Specific - need basisRole can be based remotelyWork schedule:Global projects - flexibleNo Relocation support available:Business Unit Summary:Our Latin America region is comprised of four Mondelez International business units: Brazil, México, Southern Cone (which includes Argentina, Uruguay and Paraguay) and WACAM (which includes 12 South American countries and the U.S. territory of Puerto Rico); and one stand-alone market: Venezuela. We have approximately 20,000 passionate employees who put in all their energy, hearts and souls to create, market and sell our global iconic brands and beloved local jewels such as *_Lacta _, _Field _and _Terrabusi _among others. We are known for our resilience and good humor and live our purpose with passion and commitment.*:Mondelēz International is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation or preference, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.Job Type:RegularSoftware & ApplicationsTechnology & Digital",https://www.emprego.pt/en/jobs/show/30437750701118889784842708528,existe
Prometeo Talent,Senior React Native Developer Top U.s. Technology..,"Nowsta is a venture-backed* technology company* that sits at the intersection of financial wellness and workforce management. We’re building a platform that leverages advancements in machine learning *and *payments technology *to reimagine the way companies communicate with, and pay their hourly wage employees. In doing this, we hope to create a *better and more human work experience, equipping both employers and employees with tools they need to meet the challenges of work in the 21st century.Our ProposalDevelop features using modern tools and technologiesAnalyze requirements in order to clearly define successful solutionsIdentify opportunities to improve the software development lifecycle and processesIt can be a perfect match if you meet...Bachelor's degree *or equivalent practical *experience+5 years *of experience with *React NativeStrong English skillsExcited about delivering user-focused solutionsIt would also be a plus if you...Have a* deep passion* about technology and follow mobile technology trends closelyHave a strong appreciation for engineering best practices and quality over quantity of workWhat we offer?100% remote workSalary in USD payed directly in a* US Bank Account*:Up to 3 weeks of Paid Time OffSigning loan, so you can start working with a** Mac Computer",https://www.emprego.pt/en/jobs/show/30437758909920002585593177649,existe
goFluent,Home-based Corporate English Trainer (Cc),"*We are looking for fun, energetic, and intelligent individuals from different backgrounds *who will help transform our clients’ communication skills and make them more competitive in today’s dynamic business world. We need people who are passionate about teaching/training and can bring excitement to the learning experience.As a trainer, you will be conducting lessons online and over the phone to our clients. Our learners are mostly business professionals and executives. On any given day, you may have a CEO, senior manager of a top company, scientist, doctors, lawyers, or other professionals from highly-specialized fields as your learner.Responsibilities:Deliver live video training sessions;Give corrections and explanations to written submissions;Provide live chat support for English language topics.Job Requirements:Must have an energetic, pleasant, and engaging personalityFirst or second language must be EnglishA Bachelor's degree is requiredTeaching experience (at least 1 year)Corporate/ Business experience (at least 2 to 3 years)Excellent English communication skills (speaking, reading, writing  grammar, spelling, punctuation, etc.)On-camera, hosting, and/or public speaking experience is an advantageEditing and/or proofreading experience is an advantageGood computer skillsMust be able to multitask and work independentlyMust be open-minded and willing to learnQuiet, dedicated workspaceWork hoursNumber of hours per week: 30 to 40 hoursNumber of days per week: 5 to 6 daysWorking days: any day of the week as long as it meets the total number of hours per weekWorking hours: any time between: 11:00 PM to 8:00 AM or 12:00 AM to 9:00 AMAdditional requirements:Job Types: Full-time, ContractApplication Question(s):Are you currently in San Jose? If not, where are you residing?Education:Bachelor's (preferred)Experience:Teaching: 2 years (preferred)Corporate or Business: 3 years (preferred)Language:English (required)",https://www.emprego.pt/en/jobs/show/30437759297301628133493761586,existe
BairesDev,Procurement Analyst Work latam,"Who We areBairesDev is proud to be the fastest-growing company in America. With people in five continents and world-class clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1% of the best talents and nurture their professional growth on exciting projects.Procurement Analyst at BairesDevWe are looking for a Procurement Analyst to determine supply needs for products and services, as well as to participate in negotiations of favorable procurement contracts and prices with selected vendors and suppliers.What You’ll Do:Determine purchase needs along with internal areas.Maintain and update a list of suppliers and their qualifications, delivery times, and potential future development.Research and compare suppliers, goods, and services.Review of supplier contracts.Prepare cost-benefit analysis reports for review by managers.Select the most suitable suppliers in terms of reliability, product quality, and cost-efficiency.Here’s what we are looking for:2+ Years of experience in similar positions.Bachelor's degree in Finance, Business, Industrial Engineering, Business Administration, or Accounting.Knowledge of SAP or SAP B1.Strong interpersonal and communication skills.Advanced English level.How we do make your work (and your life) easier:100% remote work.Hardware setup for you to work from home.Flexible hours - make your schedule.Paid parental leave, vacation & holidays.Diverse and multicultural work environment.An innovative environment with the structure and resources of a leading multinational.Excellent compensation — well above the market average.Here you can grow at the speed of your learning curve.Our people work remotely but with a consistent and robust culture that promotes diversity and teamwork. To continue being the leading software development company in Latin America, we want to ensure that every BairesDev member gets the best growth and professional development opportunities in a diverse, welcoming, and innovative environment.Every BairesDev team member brings something unique to our company.",https://www.emprego.pt/en/jobs/show/30437765108026011352002520627,existe
BairesDev,Senior Adobe Analytics Work latam,"Who We areBairesDev is proud to be the fastest-growing company in America. With people in five continents and world-class clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1% of the best talents and nurture their professional growth on exciting projects.Adobe Analytics at BairesDevWe are looking for Adobe Analytics/Adobe Administrator to join our company. As part of this team, you will enable the collection of high quality, actionable data for our world-class clients. This is an excellent opportunity for those professionals looking to develop in one of the fastest-growing companies in the industry!What You’ll Do:Administrate Adobe Analytics platform.Be responsible for security reviews and new user access.Refine existing business requirements and standardize them globally.Monitor and test your global Tealium deployment to ensure completion.Here’s what we are looking for:5+ years of experience with Adobe Analytics tool.Deep understanding of the reporting & analytics capabilities within Adobe Analytics.Extensive experience testing & debugging web and mobile app analytics implementations.Experience in JIRA or other similar project management tools.Advanced English level.How we do make your work (and your life) easier:100% remote work.Hardware setup for you to work from home.Flexible hours - make your schedule.Paid parental leave, vacation & holidays.Diverse and multicultural work environment.An innovative environment with the structure and resources of a leading multinational.Excellent compensation — well above the market average.Here you can grow at the speed of your learning curve.Our people work remotely but with a consistent and robust culture that promotes diversity and teamwork. To continue being the leading software development company in Latin America, we want to ensure that every BairesDev member gets the best growth and professional development opportunities in a diverse, welcoming, and innovative environment.Every BairesDev team member brings something unique to our company.",https://www.emprego.pt/en/jobs/show/30437765144919499499421623860,existe
